analysis_id,stratum,moderator,contrast,omitted_study,removed_effects,remaining_effects,remaining_studies,remaining_clusters,successful,beta,se,df,p_raw,nominal_p_lt_0_05,direction_consistent,warnings,failure_reason
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Tse_2020,2,173,46,51,TRUE,0.13019890984889793,0.044682129337712,5.6120837376333075,0.029011886983820304,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Tse_2021_a,2,173,46,51,TRUE,0.1343047846607389,0.04557639976100517,5.6997276102083605,0.02733411818795165,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Tse_2021_b,16,159,46,51,TRUE,0.14732534828502286,0.06582204299123852,8.953803177452272,0.052140015131081414,FALSE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Tse_2022,1,174,46,51,TRUE,0.12888084317387374,0.04383728393951395,5.5257470391960295,0.028605336658956808,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Urraro_2026,1,174,46,51,TRUE,0.13452308682801928,0.04492751140844273,5.604465565432617,0.026295295904160132,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Verzotti_2019,3,172,46,51,TRUE,0.13461926091782023,0.0450493892329438,5.599656560125613,0.026518173450841148,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Walmer_2023,6,169,46,51,TRUE,0.12648619503177713,0.04385716408584853,5.5836003862383885,0.030293263454981446,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Yan_2021,24,151,46,49,TRUE,0.11597984218188544,0.04730528007734155,4.855475803491703,0.0592857542416173,FALSE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Yenice_2020,2,173,46,51,TRUE,0.12509491168869585,0.04365693086708671,5.596859849282711,0.03092551649301152,TRUE,TRUE,,
IR_blinding_reported,Inter-reader,Blinding reported,Reported vs not reported,Zhong_2017,2,173,46,51,TRUE,0.11816574768721061,0.04254193027824442,5.9364059699273435,0.0324585433274454,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Abufaraj_2025,6,153,42,47,TRUE,0.3939315482241119,0.16985425388779515,24.68367864511406,0.028957617250389756,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Arita_2022,3,156,42,47,TRUE,0.39200847457248345,0.16919710106598124,24.784426191482442,0.029069501310664207,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Ascenti_2007,2,157,42,47,TRUE,0.2958702796628687,0.1509705963358466,22.441161119770435,0.06255534975187418,FALSE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Bai_2020,10,149,42,45,TRUE,0.39304120472508863,0.16953420014501575,24.73652212915991,0.028993320058499274,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Benjaminov_2006,1,158,42,47,TRUE,0.39032245032072765,0.17055940863769495,24.645841995525753,0.030963238889535328,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Bertolotto_2010,1,158,42,47,TRUE,0.4101190153475368,0.17867634366587182,22.700088801837577,0.03130013752255316,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Bertolotto_2015,1,158,42,47,TRUE,0.4004372518879606,0.17774833542169075,22.896083554031232,0.03415747900084263,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Chan_2021,4,155,42,47,TRUE,0.37865078404438296,0.17085414232767315,24.708488438959566,0.036118942883778066,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Dana_2023,6,153,42,47,TRUE,0.4185694355264694,0.16998398892535466,24.68052030565391,0.021141377118557687,TRUE,TRUE,,
