analytic_stratum,study_id,first_author,year,publication_type,retained_comparisons,retained_metric_types,eligible_kappa_effects,selected_opes_effects,primary_model_status
intra-reader,Osman_2021,Osman,2021,journal_article,6,kappa,6,1,Included in primary OPES model (one selected effect per study)
intra-reader,Bai_2022,Bai,2022,journal_article,7,ICC,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
intra-reader,Jin_2024,Jin,2024,journal_article,6,Gwet AC2,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
intra-reader,Münch_2024,Münch,2024,journal_article,6,kappa,6,1,Included in primary OPES model (one selected effect per study)
intra-reader,Urraro_2026,Urraro,2026,journal_article,2,ICC,0,0,Excluded from kappa pooling: only non-kappa metric(s) reported
inter-version,Angelini_2021,Angelini,2021,conference_abstract,1,kappa,1,1,Included in primary OPES model (one selected effect per study)
inter-version,Osman_2021,Osman,2021,journal_article,6,kappa,6,1,Included in primary OPES model (one selected effect per study)
inter-version,Chandrasekar_2023,Chandrasekar,2023,journal_article,1,kappa,1,1,Included in primary OPES model (one selected effect per study)
inter-version,Gomma_2023,Gomma,2023,journal_article,1,kappa,1,1,Included in primary OPES model (one selected effect per study)
inter-version,Sun_2023,Sun,2023,journal_article,4,kappa,4,1,Included in primary OPES model (one selected effect per study)
inter-version,Lucocq_2024,Lucocq,2024,journal_article,1,kappa,1,1,Included in primary OPES model (one selected effect per study)
inter-version,Sebastià_2026,Sebastià,2026,journal_article,1,kappa,1,1,Included in primary OPES model (one selected effect per study)
