comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C457,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.5376,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C458,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.6174,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C459,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.5907,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C460,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.6669,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C461,Walmer_2023,inter-reader,CEUS (flash replenishment),,,,2,radiologists,0.25-3 years CEUS experience,,,,,63,3,Malignant/Indeterminate/Benign (collapsed Bosniak III-IV/IIF/I-II),,Cohen_unweighted,unweighted,0.5304,,,,,,,,,,1,,derived_from_table,CEUS,,modified,modified,pairwise,reader_pair,Walmer_2023_c1,no_ci,inter-reader,29.37,0,,reported_overall_available,1.62,general,unclear,,North_America
C462,Ferreira_2016,inter-modality,CT,MRI,2005,original,2,,,,,,,42,5,"I, II, IIF, III, IV",,Cohen_unweighted,unweighted,0.4777,,,,0.5952,,,,,,1,,derived_from_table,CT,MRI,original,original,single,none,Ferreira_2016_c1,derived_from_table;no_ci,inter-modality,5.58,1,sole_estimate,,,,unclear,retrospective,Other
C463,Rosenkrantz_2014,inter-modality,MRI 1.5T,MRI 3.0T,Bosniak original,,1,fellowship-trained abdominal radiologists,5 years,,,blinded to field strength/clinical details; randomized,independent retrospective,33,5,"I, II, IIF, III, IV",ranked 1-5,Cohen_linear,unweighted,0.3924,,,,0.6061,,,,,,1,,derived_from_table,MRI,MRI,original,original,single,reader_pair,Rosenkrantz_2014_c1,derived_from_table;no_ci,technical-comparison,5.67,0,single_direct,reclassified_technical_comparison,5.0,mixed,blinded,retrospective,North_America
C464,Rosenkrantz_2014,inter-modality,MRI 1.5T,MRI 3.0T,Bosniak original,,1,fellowship-trained abdominal radiologists,1 year,,,blinded to field strength/clinical details; randomized,independent retrospective,33,5,"I, II, IIF, III, IV",ranked 1-5,Cohen_linear,unweighted,0.7960,,,,0.8788,,,,,,1,,derived_from_table,MRI,MRI,original,original,single,reader_pair,Rosenkrantz_2014_c1,derived_from_table;no_ci,technical-comparison,5.67,0,,duplicate_within_study,1.0,mixed,blinded,retrospective,North_America
C465,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0306,0.8,0.92,,,0.86,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,1,reported_overall_restored:0.75,,3.5,subspecialty,blinded,retrospective,Asia
C466,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0434,0.75,0.92,,,0.84,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C467,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0281,0.81,0.92,,,0.87,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C468,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.051,0.63,0.83,,,0.73,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C469,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0485,0.62,0.81,,,0.72,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
