comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C001,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.354,,0.286,0.431,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,,,lower_priority_version_within_study,2.0,mixed,blinded,retrospective,Asia
C002,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.373,,0.292,0.487,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,1,pooled_direct,,3,mixed,blinded,retrospective,Asia
C003,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,2,"conservative (I/II/IIF), surgery (III/IV)",I+II+IIF vs III+IV,Fleiss,unweighted,0.655,,0.532,0.78,,,,,,,0,supplementary_collapsed,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C004,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,2,"conservative (I/II/IIF), surgery (III/IV)",I+II+IIF vs III+IV,Fleiss,unweighted,0.626,,0.49,0.77,,,,,,,0,supplementary_collapsed,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C005,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,3,"no follow-up (I/II), follow-up (IIF), surgery (III/IV)",I+II vs IIF vs III+IV,Fleiss,unweighted,0.469,,0.36,0.591,,,,,,,0,supplementary_collapsed,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C006,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year residents,,,yes,independent,40,3,"no follow-up (I/II), follow-up (IIF), surgery (III/IV)",I+II vs IIF vs III+IV,Fleiss,unweighted,0.474,,0.352,0.592,,,,,,,0,supplementary_collapsed,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,2.0,mixed,blinded,retrospective,Asia
C007,Abufaraj_2025,inter-reader,CT,,2005,,6,radiology residents (3rd and 4th year),3rd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.466,,0.381,0.57,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,3.0,mixed,blinded,retrospective,Asia
C008,Abufaraj_2025,inter-reader,CT,,2019,,6,radiology residents (3rd and 4th year),3rd to 4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.48,,0.36,0.609,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,3.0,mixed,blinded,retrospective,Asia
C009,Abufaraj_2025,inter-reader,CT,,2005,,4,radiology residents (4th year only),4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.474,,0.369,0.593,,,,,,,0,,,CT,,original,original,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,4.0,mixed,blinded,retrospective,Asia
C010,Abufaraj_2025,inter-reader,CT,,2019,,4,radiology residents (4th year only),4th year residents,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unweighted,0.417,,0.285,0.563,,,,,,,0,,,CT,,v2019,v2019,pooled,version;n_categories;n_readers,Abufaraj_2025_c1,,inter-reader,-0.4,0,,duplicate_within_study,4.0,mixed,blinded,retrospective,Asia
C011,Abufaraj_2025,inter-reader,CT,,2005,,8,radiology residents,2nd to 4th year,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unspecified,,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,2.0,mixed,blinded,retrospective,Asia
C012,Abufaraj_2025,inter-reader,CT,,2019,,8,radiology residents,2nd to 4th year,,,yes,independent,40,5,"I, II, IIF, III, IV",,Fleiss,unspecified,,,,,,,,,,,0,duplicate,,,,NA,NA,,,,,,,,,,2.0,mixed,blinded,retrospective,Asia
C013,Almalki_2023,inter-reader,CT,,2019,,3,abdominal radiologists,>10 years renal CT/MRI experience,,,yes,independent,60,5,"I, II, IIF, III, IV",,ICC,not_applicable,,0.0561,0.54,0.76,,,,0.66,ICC (not further specified),,0,,,CT,,v2019,v2019,pooled,modality,Almalki_2023_c1,,inter-reader,-0.6,1,pooled_direct,,10.0,subspecialty,blinded,prospective,Other
C014,Almalki_2023,inter-reader,MRI,,2019,,3,abdominal radiologists,>10 years renal CT/MRI experience,,,yes,independent,60,5,"I, II, IIF, III, IV",,ICC,not_applicable,,0.0587,0.5,0.73,,,,0.62,ICC (not further specified),,0,,,MRI,,v2019,v2019,pooled,modality,Almalki_2023_c1,,inter-reader,-0.6,0,,duplicate_within_study,10.0,subspecialty,blinded,prospective,Other
C015,Almalki_2023,inter-modality,CT,MRI,2019,2019,3,abdominal radiologists,>10 years,,,yes,consensus,60,5,"I, II, IIF, III, IV",,Cohen_quadratic,quadratic,0.58,,0.45,0.72,0.5,,,,,,1,,cohen_multi_reader,CT,MRI,v2019,v2019,single,none,Almalki_2023_c1,cohen_multi_reader,inter-modality,6.4,1,sole_estimate,,10.0,subspecialty,blinded,prospective,Other
C018,Ascenti_2007,inter-reader,CEUS,,2005,,3,abdominal radiologists,"15, 25, 10 years urologic imaging",,,yes,independent,44,4,"II, IIF, III, IV",,Cohen_unweighted,unweighted,0.86,,,,,,,,,,0,,cohen_multi_reader,CEUS,,unspecified,original,pooled,modality,Ascenti_2007_c1,cohen_multi_reader;no_ci,inter-reader,1.56,0,,lower_modality_priority,16.67,subspecialty,blinded,prospective,Europe
C020,Ascenti_2007,inter-reader,CT,,2005,,3,abdominal radiologists,"15, 25, 10 years",,,yes,independent,44,4,"II, IIF, III, IV",,Cohen_unweighted,unweighted,1,,,,1,,,,,,0,,cohen_multi_reader,CT,,original,original,pooled,modality,Ascenti_2007_c1,cohen_multi_reader;extreme_value;no_ci,inter-reader,1.56,1,pooled_direct,,16.67,subspecialty,blinded,prospective,Europe
C021,Ascenti_2007,inter-modality,CEUS,CT,2005,2005,3,abdominal radiologists,"15, 25, 10 years",,,yes,independent,44,4,"II, IIF, III, IV",,Cohen_unweighted,unweighted,0.79,,0.73,0.86,,,,,,,1,,cohen_multi_reader,CEUS,CT,unspecified,original,single,none,Ascenti_2007_c1,cohen_multi_reader,inter-modality,6.56,1,sole_estimate,,16.67,subspecialty,blinded,prospective,Europe
C025,Audenet_2022,inter-modality,CT/MRI,CT/MRI+CEUS,unclear,unclear,,multidisciplinary tumor board,not specified,,,unclear,unclear,52,,Bosniak III only,,,,,,,,,,,,,,0,no_stat,,,,NA,NA,,,,,,,,,,,,unclear,retrospective,Europe
C027,Bai_2022,intra-reader,MRI,,2019,,8,radiologists,senior and junior,,,unclear,independent,207,5,"I, II, IIF, III, IV",,ICC,not_applicable,,,0.821,0.872,,,,0.848,test-retest ICC,,0,,,MRI,,v2019,v2019,pooled,none,Bai_2022_c1,,intra-reader,2.93,1,sole_estimate,,,general,unclear,,
C028,Benjaminov_2006,inter-reader,CT,,2005,,2,abdominal radiologists,experienced (not further specified),,,yes,independent,32,4,"II, IIF, III, IV",,Cohen_quadratic,quadratic,0.52,,0.28,0.75,,,,,,,1,,,CT,,original,original,single_pair,none,Benjaminov_2006_c1,,inter-reader,9.68,1,sole_estimate,,,subspecialty,blinded,retrospective,North_America
C039,Bertelli_2011,inter-modality,CEUS,CECT,unclear,unclear,,,,,,unclear,unclear,42,,unclear,,,,,,,,0.904,,,,,,0,no_stat,,,,NA,NA,,,,,,,,,,,,unclear,,
C040,Bertolotto_2010,inter-reader,CT (5mm axial),CT (5mm axial),original,original,2,"['radiology', 'radiology']",12 years,,2 years,"blinded to patient history, clinical info, pathology, each other's interpretations",independent,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.64,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,inter-reader,30.3,1,standard_acquisition,,7.0,general,blinded,retrospective,Europe
C041,Bertolotto_2010,inter-reader,CT (volume data),CT (volume data),original,original,2,"['radiology', 'radiology']",12 years,,2 years,blinded,independent,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.7,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,technical-comparison,30.3,0,,alternative_acquisition,7.0,general,blinded,retrospective,Europe
C042,Bertolotto_2010,intra-reader,CT (5mm axial),CT (5mm axial),original,original,1,['radiology'],12 years,,,"blinded, 1-month interval",repeated,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.84,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,intra-reader,5.3,1,single_direct,,12.0,general,blinded,retrospective,Europe
C043,Bertolotto_2010,intra-reader,CT (volume data),CT (volume data),original,original,1,['radiology'],12 years,,,"blinded, 1-month interval",repeated,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.92,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,technical-comparison,5.3,0,,duplicate_within_study,12.0,general,blinded,retrospective,Europe
C044,Bertolotto_2010,intra-reader,CT (5mm axial),CT (5mm axial),original,original,1,['radiology'],2 years,,,"blinded, 1-month interval",repeated,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.81,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,intra-reader,5.3,0,,duplicate_within_study,2.0,general,blinded,retrospective,Europe
C045,Bertolotto_2010,intra-reader,CT (volume data),CT (volume data),original,original,1,['radiology'],2 years,,,"blinded, 1-month interval",repeated,70,4,"['II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.86,,,,,,,,,,0,,weight_not_specified,CT,CT,original,original,single_pair,reader_pair,Bertolotto_2010_c1,no_ci;weight_not_specified,technical-comparison,5.3,0,,duplicate_within_study,2.0,general,blinded,retrospective,Europe
C048,Bertolotto_2015,inter-reader,CEUS,CEUS,original (adapted for CEUS),original (adapted for CEUS),2,"['radiology', 'radiology']",20 years urologic imaging,,10 years urologic imaging,blinded,independent,23,3,"['IIF', 'III', 'IV']",,Cohen_linear,linear,0.7,,,,0.739,,,,,,1,,,CEUS,CEUS,modified,modified,single_pair,none,Bertolotto_2015_c1,no_ci;small_sample,inter-reader,9.77,1,sole_estimate,,15.0,general,blinded,retrospective,Europe
C049,Chan_2021,inter-modality,CT,MRI,original,original,4,['abdominal radiology'],"10, 1, 1, 2 years post-fellowship",,,blinded to histopathology and demographics,consensus (3 readers + expert),65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.6,,,,0.708,,,,,,1,,cohen_multi_reader,CT,MRI,original,original,single,version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-modality,6.35,,,lower_priority_version_within_study,3.5,subspecialty,blinded,retrospective,North_America
C050,Chan_2021,inter-modality,CT,MRI,v2019,v2019,4,['abdominal radiology'],"10, 1, 1, 2 years post-fellowship",,,blinded,consensus,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.63,,,,0.723,,,,,,1,,cohen_multi_reader,CT,MRI,v2019,v2019,single,version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-modality,6.35,1,single_direct,,3.5,subspecialty,blinded,retrospective,North_America
C051,Chan_2021,inter-reader,CT,CT,original,original,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,blinded,independent,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.35,,,,,,,,,,0,,cohen_multi_reader,CT,CT,original,original,pooled,modality;version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-reader,1.35,,,lower_priority_version_within_study,1.33,subspecialty,blinded,retrospective,North_America
C052,Chan_2021,inter-reader,MRI,MRI,original,original,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,blinded,independent,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.37,,,,,,,,,,0,,cohen_multi_reader,MRI,MRI,original,original,pooled,modality;version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-reader,1.35,0,,duplicate_within_study,1.33,subspecialty,blinded,retrospective,North_America
C053,Chan_2021,inter-reader,CT,CT,v2019,v2019,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,blinded,independent,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.44,,,,,,,,,,0,,cohen_multi_reader,CT,CT,v2019,v2019,pooled,modality;version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-reader,1.35,1,pooled_direct,,1.33,subspecialty,blinded,retrospective,North_America
C054,Chan_2021,inter-reader,MRI,MRI,v2019,v2019,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,blinded,independent,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.39,,,,,,,,,,0,,cohen_multi_reader,MRI,MRI,v2019,v2019,pooled,modality;version,Chan_2021_c1,cohen_multi_reader;no_ci,inter-reader,1.35,0,,duplicate_within_study,1.33,subspecialty,blinded,retrospective,North_America
C055,Chan_2021,intra-reader,CT,CT,original,original,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,"blinded, minimum 4-week washout",repeated,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.455,,,,,,,,,,0,no_stat,cohen_multi_reader;weight_not_specified,CT,CT,original,original,single,modality;version,Chan_2021_c1,weight_not_specified;cohen_multi_reader;no_ci;derived_midpoint_not_used,,7.35,0,,,1.33,subspecialty,blinded,retrospective,North_America
C056,Chan_2021,intra-reader,MRI,MRI,original,original,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,"blinded, minimum 4-week washout",repeated,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.49,,,,,,,,,,0,no_stat,cohen_multi_reader;weight_not_specified,MRI,MRI,original,original,single,modality;version,Chan_2021_c1,weight_not_specified;cohen_multi_reader;no_ci;derived_midpoint_not_used,,7.35,0,,,1.33,subspecialty,blinded,retrospective,North_America
C057,Chan_2021,intra-reader,CT,CT,v2019,v2019,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,"blinded, minimum 4-week washout",repeated,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.485,,,,,,,,,,0,no_stat,cohen_multi_reader;weight_not_specified,CT,CT,v2019,v2019,single,modality;version,Chan_2021_c1,weight_not_specified;cohen_multi_reader;no_ci;derived_midpoint_not_used,,7.35,0,,,1.33,subspecialty,blinded,retrospective,North_America
C058,Chan_2021,intra-reader,MRI,MRI,v2019,v2019,3,['abdominal radiology'],"1, 1, 2 years post-fellowship",,,"blinded, minimum 4-week washout",repeated,65,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.51,,,,,,,,,,0,no_stat,cohen_multi_reader;weight_not_specified,MRI,MRI,v2019,v2019,single,modality;version,Chan_2021_c1,weight_not_specified;cohen_multi_reader;no_ci;derived_midpoint_not_used,,7.35,0,,,1.33,subspecialty,blinded,retrospective,North_America
C059,Chang_2015,inter-reader,CEUS,CEUS,,,2,,,,,blinded,independent,33,2,"positive, negative",,Cohen_unweighted,unweighted,0.926,,,,0.9697,,,,,,0,,,CEUS,CEUS,unspecified,unspecified,single_pair,none,Chang_2015_c1,no_ci,inter-reader,9.67,1,sole_estimate,,,,blinded,,
C060,Clevert_2008,inter-modality,CT,CEUS,original,original (adapted for US),1,['radiology'],experienced radiologists,,,blinded readers,independent,37,4,"['II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.7505,,,,0.8108108108108109,,,,,,1,,derived_from_table,CT,CEUS,original,modified,single,none,Clevert_2008_c1,no_ci,inter-modality,4.63,1,sole_estimate,,,general,blinded,retrospective,Europe
C061,Como_2021,inter-modality,CT/MRI,CEUS,original/v2019 (standard Bosniak),modified Bosniak (0-5) for CEUS,1,,,,,,,48,2,,,Cohen_unweighted,unweighted,0.12,,,,,,,,,,0,not_bosniak_category_agreement,,CT_MRI,CEUS,both,modified,single,n_categories;n_cysts,Como_2021_c1,no_ci,inter-modality,4.52,0,single_direct,,,,unclear,retrospective,Europe
C062,Como_2021,inter-modality,CT/MRI,CEUS,original/v2019,modified Bosniak (0-5),1,,,,,,,36,2,">2F, ≤2F",,Cohen_unweighted,unweighted,0.33,,,,,,,,,,0,,,CT_MRI,CEUS,both,modified,single,n_categories;n_cysts,Como_2021_c2,no_ci,inter-modality,4.64,1,,,,,unclear,retrospective,Europe
C063,Dana_2023,inter-reader,CT,CT,v2005,v2005,3,['abdominal radiology'],"25, 7, 4 years",,,blinded to pathology and follow-up,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.78,,0.72,0.82,0.557,,,,,,0,,,CT,CT,original,original,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,,,lower_priority_version_within_study,12.0,subspecialty,blinded,retrospective,North_America
C064,Dana_2023,inter-reader,CT,CT,v2019,v2019,3,['abdominal radiology'],"25, 7, 4 years",,,blinded,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.75,,0.69,0.8,0.57,,,,,,0,,,CT,CT,v2019,v2019,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,pooled_direct,reader_subgroup_of_C068,12.0,subspecialty,blinded,retrospective,North_America
C065,Dana_2023,inter-reader,CT,CT,v2005,v2005,2,['abdominal imaging fellow'],fellows,,,blinded,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.71,,0.64,0.78,0.631,,,,,,0,,,CT,CT,original,original,single_pair,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,8.51,0,,less_preferred_structure:single_pair;lower_priority,,mixed,blinded,retrospective,North_America
C066,Dana_2023,inter-reader,CT,CT,v2019,v2019,2,['abdominal imaging fellow'],fellows,,,blinded,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.72,,0.63,0.79,0.685,,,,,,0,,,CT,CT,v2019,v2019,single_pair,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,8.51,0,,less_preferred_structure:single_pair;lower_priority,,mixed,blinded,retrospective,North_America
C067,Dana_2023,inter-reader,CT,CT,v2005,v2005,5,"['abdominal radiology', 'abdominal imaging fellow']",fellows to 25 years,,,blinded,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.74,,0.69,0.78,0.362,,,,,,0,,,CT,CT,original,original,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,,lower_priority_version_within_study,25.0,mixed,blinded,retrospective,North_America
C068,Dana_2023,inter-reader,CT,CT,v2019,v2019,5,"['abdominal radiology', 'abdominal imaging fellow']",fellows to 25 years,,,blinded,independent,149,5,"['I', 'II', 'IIF', 'III', 'IV']",,Light,unweighted,0.73,,0.68,0.78,0.436,,,,,,0,,,CT,CT,v2019,v2019,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,1,,,25.0,mixed,blinded,retrospective,North_America
C069,Dana_2023,inter-reader,CT,CT,v2005,v2005,3,['abdominal radiology'],"25, 7, 4 years",,,blinded,independent,149,2,"['I-IIF (conservative)', 'III-IV (ablative)']",dichotomized: I-IIF vs III-IV,Light,unweighted,0.8,,0.7,0.88,0.886,,,,,,0,supplementary_collapsed,,CT,CT,original,original,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,,duplicate_within_study,12.0,subspecialty,blinded,retrospective,North_America
C070,Dana_2023,inter-reader,CT,CT,v2019,v2019,3,['abdominal radiology'],"25, 7, 4 years",,,blinded,independent,149,2,"['I-IIF (conservative)', 'III-IV (ablative)']",dichotomized: I-IIF vs III-IV,Light,unweighted,0.71,,0.62,0.81,0.819,,,,,,0,supplementary_collapsed,,CT,CT,v2019,v2019,pooled,version;n_categories;n_readers,Dana_2023_c1,,inter-reader,-1.49,0,,duplicate_within_study,12.0,subspecialty,blinded,retrospective,North_America
C073,Das_2023,inter-modality,CECT,CEUS,v2019,EFSUMB 2020 adapted Bosniak,1,['radiology'],22 years (5 years CEUS),,,CEUS reader blinded to CECT,independent,40,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_unweighted,unweighted,0.66,,,,0.725,,,,,,1,,,CT,CEUS,v2019,EFSUMB,single,none,Das_2023_c1,no_ci,inter-modality,4.6,1,sole_estimate,,22,general,blinded,prospective,Asia
C074,Das_2023,inter-modality,CEUS,histopathology/follow-up,EFSUMB 2020 adapted Bosniak,reference standard,1,['radiology'],22 years,,,,,40,2,"['benign', 'malignant']",dichotomized: I-IIF vs III-IV,Cohen_unweighted,unweighted,,,,,,,,,,,1,diagnostic_accuracy,,,,NA,NA,,,,,,,,,,22.0,general,unclear,prospective,Asia
C075,Das_2023,inter-modality,CECT,histopathology/follow-up,v2019,reference standard,,,,,,,,40,2,"['benign', 'malignant']",dichotomized: I-IIF vs III-IV,Cohen_unweighted,unweighted,,,,,,,,,,,1,diagnostic_accuracy,,,,NA,NA,,,,,,,,,,,,unclear,prospective,Asia
C076,El-Mokadem_2014,inter-reader,CT,CT,original,original,2,"['uro-radiologist', 'radiologist']",,,,not specified (clinical practice setting),clinical reports vs MDT consensus,96,4,"['II', 'IIF', 'III', 'IV']",,Cohen_quadratic,quadratic,0.69,0.0663,0.56,0.82,0.698,,,,,,1,,,CT,CT,original,original,single_pair,none,El-Mokadem_2014_c1,,inter-reader,9.04,1,sole_estimate,,,subspecialty,unclear,retrospective,Europe
C077,Elbanna_2021,inter-reader,CEUS,CEUS,v2019,v2019,2,"['abdominal radiologist', 'abdominal radiologist']",15 years CEUS experience each,,,blinded to prior imaging and final diagnosis,independent retrospective review,38,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.92,0.0638,0.75,1,,,,,,,0,,weight_not_specified,CEUS,CEUS,v2019,v2019,single_pair,modality,Elbanna_2021_c1,weight_not_specified,inter-reader,10.62,0,,lower_modality_priority,15.0,subspecialty,blinded,retrospective,North_America
C078,Elbanna_2021,inter-reader,CT/MRI,CT/MRI,v2019,v2019,2,"['abdominal radiologist (5 yr exp)', 'abdominal radiologist (7 yr exp)']",5 years,,7 years,blinded to CEUS findings and final diagnosis,independent retrospective review,38,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_weighted,weighted_unspecified,0.68,0.1071,0.39,0.81,,,,,,,0,,weight_not_specified,CT_MRI,CT_MRI,v2019,v2019,single_pair,modality,Elbanna_2021_c1,weight_not_specified,inter-reader,10.62,1,single_pair_direct,,6.0,subspecialty,blinded,retrospective,North_America
C080,Foukal_2014,inter-modality,CEUS,CT,Ascenti modification (CEUS),original 2005 (CT),1,,,,,,,112,6,"['I', 'II', 'IIF', 'III', 'IV', 'solid']",,Cohen_unweighted,unweighted,0.429,,,,0.61,,,,,,1,,derived_from_table,CEUS,CT,modified,original,single,n_categories,Foukal_2014_c1,derived_from_table;no_ci,inter-modality,4.88,1,single_direct,,,,unclear,retrospective,Europe
C081,Foukal_2014,inter-modality,CEUS,CT,Ascenti modification (CEUS),original 2005 (CT),1,,,,,,,112,2,"['non-surgical (I+II+IIF)', 'surgical (III+IV+solid)']",binary: non-surgical vs surgical,Cohen_unweighted,unweighted,0.63,,,,0.9,,,,,,1,supplementary_collapsed,derived_from_table,CEUS,CT,modified,original,single,n_categories,Foukal_2014_c1,derived_from_table;no_ci,inter-modality,4.88,0,,duplicate_within_study,,,unclear,retrospective,Europe
C082,Glomski_2018,inter-reader,DECT iodine overlay,DECT iodine overlay,original (IIF criteria),original (IIF criteria),2,"['attending radiologist', 'attending radiologist']","1-4 years post-training, each 4 years DECT software experience",,,"blinded to clinical data (except age/gender), prospective interpretation, and other reader","independent retrospective review, 3 sessions separated by 3 months",55,2,"['no non-benign lesion', 'non-benign lesion present']",binary (presence/absence of non-benign lesion per patient),Cohen,unweighted,,,,,,,,,,,0,not_bosniak_category,,,,NA,NA,,,,,,,,,,2.5,general,blinded,retrospective,North_America
C083,Glomski_2018,inter-reader,renal mass protocol CT,renal mass protocol CT,original (IIF criteria),original (IIF criteria),2,"['attending radiologist', 'attending radiologist']",1-4 years post-training,,,blinded,"independent retrospective review, 3 sessions separated by 3 months",55,2,"['no non-benign lesion', 'non-benign lesion present']",binary (presence/absence of non-benign lesion per patient),Cohen,unweighted,,,,,,,,,,,0,not_bosniak_category,,,,NA,NA,,,,,,,,,,2.5,general,blinded,retrospective,North_America
C084,Glomski_2018,intra-reader,DECT iodine overlay,renal mass protocol CT,original,original,1,['attending radiologist'],4 years post-training,,,blinded,separate sessions >=3 months apart,55,2,"['no non-benign lesion', 'non-benign lesion present']",binary,Cohen,unweighted,,,,,,,,,,,0,not_bosniak_category,,,,NA,NA,,,,,,,,,,4.0,general,blinded,retrospective,North_America
C085,Glomski_2018,intra-reader,DECT iodine overlay,renal mass protocol CT,original,original,1,['attending radiologist'],1 year post-training,,,blinded,separate sessions >=3 months apart,55,2,"['no non-benign lesion', 'non-benign lesion present']",binary,Cohen,unweighted,,,,,,,,,,,0,not_bosniak_category,,,,NA,NA,,,,,,,,,,1.0,general,blinded,retrospective,North_America
C086,Graumann_2015,inter-reader,CT,CT,2005,2005,2,['uroradiology'],20+ years (Reader A),,,Blinded from original CT reports,independent review at PACS workstation,100,5,"['I', 'II', 'IIF', 'III', 'IV']",,Cohen_quadratic,quadratic,0.85,0.0204,0.82,0.9,,,,,,,1,,,CT,CT,original,original,pairwise,reader_pair,Graumann_2016_c1,overlap:graumann_group,inter-reader,29,0,,pairwise_aggregated_to_median,20.0,subspecialty,blinded,retrospective,Europe
